LAT,LON,averageSignal,radio,Network,MCC,MNC,TAC,CID,RANGE
32.628707885742,-7.7954864501953,0,GSM,IAM,604,1,199,22539,1000
32.60056,-7.827769,0,GSM,IAM,604,1,199,24865,4352
32.628707885742,-7.7954864501953,0,GSM,IAM,604,1,199,22563,1000
32.801742553711,-7.7158355712891,0,GSM,IAM,604,1,33,52233,1000
32.801742553711,-7.7158355712891,0,GSM,IAM,604,1,33,20975,1000
32.801742553711,-7.7158355712891,0,GSM,IAM,604,1,76,47211,1000
32.73514,-7.735763,0,GSM,IAM,604,1,199,22562,7637
32.963790893555,-7.6018524169922,0,GSM,IAM,604,1,33,20934,1000
32.963790893555,-7.6018524169922,0,GSM,IAM,604,1,33,52442,1000
32.963790893555,-7.6018524169922,0,GSM,IAM,604,1,33,20913,1000
32.998948,-7.601591,0,GSM,IAM,604,1,33,52437,17238
33.028336,-7.588589,0,GSM,IAM,604,1,33,53277,13834
33.151931762695,-7.5716400146484,0,GSM,IAM,604,1,33,53278,1000
32.979177,-7.616716,0,GSM,IAM,604,1,33,52660,19663
33.151931762695,-7.5716400146484,0,GSM,IAM,604,1,33,52610,1000
33.069535,-7.586073,0,GSM,IAM,604,1,33,22527,9260
33.114305,-7.581546,0,GSM,IAM,604,1,33,22386,21442
33.084811,-7.573018,0,GSM,IAM,604,1,33,20951,24746
33.262711,-7.573468,0,GSM,IAM,604,1,33,53333,5060
33.321222,-7.596605,0,GSM,IAM,604,1,35,53542,12369
33.429336547852,-7.6279449462891,0,GSM,IAM,604,1,71,20920,1000
33.429336547852,-7.6279449462891,0,GSM,IAM,604,1,35,53541,1000
33.429336547852,-7.6279449462891,0,GSM,IAM,604,1,71,54969,1000
33.429336547852,-7.6279449462891,0,GSM,IAM,604,1,35,20949,1000
33.429336547852,-7.6279449462891,0,GSM,IAM,604,1,71,53073,1000
33.535079956055,-7.5496673583984,0,GSM,IAM,604,1,35,50311,1000
33.488394,-7.589514,0,GSM,IAM,604,1,35,54677,6372
33.473117,-7.654539,0,GSM,IAM,604,1,38,50118,11917
33.535079956055,-7.5496673583984,0,GSM,IAM,604,1,35,54678,1000
33.535079956055,-7.5496673583984,0,GSM,IAM,604,1,35,54676,1000
33.535079956055,-7.5496673583984,0,GSM,IAM,604,1,35,53915,1000
33.535079956055,-7.5496673583984,0,GSM,IAM,604,1,38,53082,1000
33.617477416992,-7.4329376220703,0,GSM,IAM,604,1,176,21077,1000
33.617477416992,-7.4329376220703,0,GSM,IAM,604,1,176,21078,1000
33.617477416992,-7.4329376220703,0,GSM,IAM,604,1,187,54859,1000
33.617477416992,-7.4329376220703,0,GSM,IAM,604,1,187,21099,1000
33.617477416992,-7.4329376220703,0,GSM,IAM,604,1,187,53917,1000
33.750686645508,-7.2846221923828,0,GSM,IAM,604,1,67,53871,1000
33.750686645508,-7.2846221923828,0,GSM,IAM,604,1,67,53870,1000
33.750686645508,-7.2846221923828,0,GSM,IAM,604,1,67,52403,1000
33.750686645508,-7.2846221923828,0,GSM,IAM,604,1,67,53193,1000
33.680664,-7.363856,0,GSM,IAM,604,1,172,54673,10693
33.750686645508,-7.2846221923828,0,GSM,IAM,604,1,67,53869,1000
33.750686645508,-7.2846221923828,0,GSM,IAM,604,1,67,20010,1000
33.758475,-7.262887,0,GSM,IAM,604,1,28,20272,9335
33.797378540039,-7.1733856201172,0,GSM,IAM,604,1,67,23505,1000
